item_id,wave,priority,category,item,quantity,unit_low_usd,unit_high_usd,subtotal_low_usd,subtotal_high_usd,timing,purpose,gate,verify_before_order,notes
BUY-001,0,P0,Build infrastructure,"High-core-count x86-64 Linux workstation, 128 GB RAM, 4 TB NVMe",1,6000,12000,6000,12000,Day 0,"Reproducible kernel/platform builds, symbols, local CI and emulation",M0,"ECC/virtualization support, Linux compatibility, warranty, regional price",A 64 GB/2 TB configuration is the lean minimum; storage and RAM headroom reduce iteration time.
BUY-002,0,P0,CI/storage,"CI runner, backup/NAS and artifact storage",1,3000,9000,3000,9000,Day 0–30,"Clean builds, evidence retention, trace corpus and recovery",M0,"Off-site backup, access control, encryption, power protection",Cloud capacity may substitute initially but evidence and hardware traces need controlled retention.
BUY-003,0,P0,Debug,"UART/JTAG adapters, level shifters, cables, breakout boards and isolation",6,40,180,240,1080,Day 0–14,Safe early boot and board diagnostics,M0,"Voltage levels, target headers, galvanic isolation where needed",Buy duplicates; label and inventory each adapter.
BUY-004,0,P0,Power,Programmable bench supply with logging and current measurement,2,700,2500,1400,5000,Day 0–30,"Bring-up safety, power sequencing and energy evidence",M0,"Resolution, logging API, channel count, protection and calibration",One supply is insufficient for parallel board and phone work.
BUY-005,0,P0,Instrumentation,"Oscilloscope, mixed-signal/logic analyzer and probes",1,2500,10000,2500,10000,Day 0–45,"Clock, reset, bus, power and signal diagnostics",M1/M3,"Bandwidth, channel count, protocol decode, probe quality and calibration",Lean program can rent premium instruments for difficult cases.
BUY-006,0,P1,Instrumentation,USB protocol analyzer and high-quality USB-C power meters,2,400,2500,800,5000,Day 15–60,"USB device/host, recovery, modem, camera and charging evidence",M3/M6,"USB speed/PD coverage, capture API and licensing",One analyzer plus multiple power meters is acceptable in the lean plan.
BUY-007,1,P0,Documented boards,BeaglePlay or selected AM62-class open-design board,3,150,300,450,900,Weeks 1–4,First documented AArch64 board package and physical service contracts,M3,"Exact revision, schematics/TRM links, recovery and availability","Three units: primary, regression, and destructive/bring-up spare."
BUY-008,1,P1,Vision boards,BeagleY-AI / AM67A-class vision board,3,100,300,300,900,Months 2–4,Camera/accelerator/display and second TI-family evidence,M5,"Exact SoC/revision, camera expansion, design files and support status",Purchase after dossier confirms unique evidence.
BUY-009,1,P1,Vision boards,NXP i.MX 8M Plus evaluation kit,2,500,1200,1000,2400,Months 3–6,Independent SoC port and documented ISP/NPU evaluation,M5,"Public/registration document set, display/camera modules and FAE path",Proceed only if documentation audit passes.
BUY-010,1,P0,Camera bench,"Raspberry Pi 5/PiSP bench with Camera Module 3, HQ/RAW-capable modules and storage",3,250,650,750,1950,Months 1–3,"Documented reference imaging pipeline, algorithms and dataset generation",M5,"Sensor variants, lenses, RAW access and current camera software support",Not a target substrate for the native OS; it is a controlled imaging reference bench.
BUY-011,1,P0,Open phone,PinePhone Pro development units and spare batteries/accessories,3,450,650,1350,1950,Months 2–4,Phone-form display/touch/audio/power/modem integration with open documentation,M6,"Revision, community maturity, modem region/bands and return policy",Quality compromises are accepted only for this evidence track.
BUY-012,1,P1,Open phone,Librem 5 evaluation unit,1,800,1300,800,1300,Months 4–8,Alternative separated-modem and open-design comparison,M6,"Unique evidence, supply, exact documentation and regional modem",Optional; scorecard must justify acquisition.
BUY-013,1,P0,Pixel quality track,"Pixel 9 research units, unlockable SKU verified before purchase",3,650,1100,1950,3300,Weeks 2–6,"Stock quality oracle, lawful traces, recovery and bounded native feasibility",M7,"Exact SKU/region/carrier unlockability, factory-image terms, return window","One stock oracle, one experiment unit, one recovery/spare. Do not purchase carrier-locked variants."
BUY-014,2,P1,Semi-open quality phone,Current Fairphone evaluation model meeting dossier requirements,2,600,950,1200,1900,Months 3–6,Repairable quality-phone and vendor-cooperation route,M9,"Current model, source/unlock policy, supported markets and camera/power gaps",Model is selected at purchase time; source and unlock claims are re-verified.
BUY-015,2,P1,Semi-open quality phone,Current Sony Open Devices-supported Xperia units,2,700,1300,1400,2600,Months 3–7,Vendor program and quality-hardware feasibility comparison,M9,"Current supported SKU list, regional availability, binary/source terms",No purchase solely from brand/model memory; verify the active program list.
BUY-016,2,P0,Cellular bench,"Two families of documented cellular modules, dev kits, antennas, SIMs and RF-safe accessories",4,350,1200,1400,4800,Months 3–8,"Native MBIM/QMI/AT backends, data/SMS and lifecycle tests",M6,"Bands/region, protocol documentation, firmware/update, certification and FAE access",Use shielded/authorized lab practices and approved subscriptions.
BUY-017,2,P1,Camera lab,"Light sources/light box, charts, ColorChecker, resolution targets, motion rig, tripods and lux/color meters",1,2500,12000,2500,12000,Months 2–8,Repeatable camera calibration and objective quality corpus,M5,"Calibration traceability, spectral/illuminance range, chart size and lab space",Start modestly; rent or partner for premium integrating sphere/spectroradiometer work.
BUY-018,2,P1,Thermal/mechanical,"Thermal camera, thermocouples/data logger, fixtures, enclosure prototyping and ESD equipment",1,2500,9000,2500,9000,Months 2–8,"Sustained performance, charging, thermal and safe hardware work",M6/M9,"Temperature range, calibration, ESD controls and fixture safety",Use calibrated contact sensors for quantitative decisions; thermal imaging is complementary.
BUY-019,0,P0,Professional services,"Initial legal, trademark, licensing and regulatory counsel reserve",1,10000,25000,10000,25000,Day 0–90,"Research boundaries, clean room, terms, brand, contributor and product compliance",M0,"Scope, jurisdiction, privilege, budget cap and deliverables",Separate counsel workstreams where specialist expertise is required.
BUY-020,0,P0,Contingency,"Shipping, duties, replacement units, consumables, calibration, rentals and unexpected access costs",1,5000,12000,5000,12000,Day 0–90,Preserve experiments when hardware/revision/import failures occur,M0,Approval threshold and inventory linkage,Do not hide engineering payroll or major NRE in contingency.
