milestone,title,start_date,target_date,task_count,acceptance
Continuous,Continuous evidence gate,2026-07-13,2030-07-07,19,All P0 blockers closed or explicitly waived; evidence bundle linked; dependent tracks reviewed.
M0,M0 evidence gate,2026-07-13,2026-08-30,39,All P0 blockers closed or explicitly waived; evidence bundle linked; dependent tracks reviewed.
M1,M1 evidence gate,2026-07-13,2026-11-01,35,All P0 blockers closed or explicitly waived; evidence bundle linked; dependent tracks reviewed.
M10,M10 evidence gate,2027-11-15,2029-09-30,11,All P0 blockers closed or explicitly waived; evidence bundle linked; dependent tracks reviewed.
M11,M11 evidence gate,2028-05-15,2030-03-17,4,All P0 blockers closed or explicitly waived; evidence bundle linked; dependent tracks reviewed.
M2,M2 evidence gate,2026-08-10,2027-02-21,39,All P0 blockers closed or explicitly waived; evidence bundle linked; dependent tracks reviewed.
M3,M3 evidence gate,2026-08-24,2027-07-11,30,All P0 blockers closed or explicitly waived; evidence bundle linked; dependent tracks reviewed.
M4,M4 evidence gate,2026-11-02,2027-09-19,33,All P0 blockers closed or explicitly waived; evidence bundle linked; dependent tracks reviewed.
M5,M5 evidence gate,2026-08-10,2027-11-14,30,All P0 blockers closed or explicitly waived; evidence bundle linked; dependent tracks reviewed.
M6,M6 evidence gate,2027-01-25,2028-01-09,10,All P0 blockers closed or explicitly waived; evidence bundle linked; dependent tracks reviewed.
M7,M7 evidence gate,2026-08-24,2028-02-20,16,All P0 blockers closed or explicitly waived; evidence bundle linked; dependent tracks reviewed.
M8,M8 evidence gate,2027-02-08,2028-04-02,38,All P0 blockers closed or explicitly waived; evidence bundle linked; dependent tracks reviewed.
M9,M9 evidence gate,2027-07-12,2028-09-24,23,All P0 blockers closed or explicitly waived; evidence bundle linked; dependent tracks reviewed.
